Time (s),Pack Voltage (V),Cell 1 Voltage (V),Cell 2 Voltage (V),Cell 3 Voltage (V),Cell 4 Voltage (V),Tap 1S Cumulative Voltage (V),Tap 2S Cumulative Voltage (V),Tap 3S Cumulative Voltage (V),Tap 4S Cumulative Voltage (V),Current (A),Temperature (°C)
0.62,12.2849,3.0466,3.0993,3.0635,3.0617,3.0663,6.1459,9.2232,12.2849,0.0969,18.70
1.14,12.2849,3.0466,3.1076,3.0690,3.0755,3.0466,6.1459,9.2094,12.2849,0.1715,18.70
1.62,12.2665,3.0565,3.0811,3.0718,3.0617,3.0466,6.1542,9.2232,12.2849,0.0969,19.20
2.13,12.2481,3.0466,3.0826,3.0940,3.0571,3.0565,6.1376,9.2094,12.2665,0.0969,18.70
2.64,12.2481,3.0466,3.0909,3.0856,3.0249,3.0466,6.1292,9.2232,12.2481,0.0969,18.70
3.12,12.2665,3.0319,3.1057,3.0718,3.0249,3.0466,6.1376,9.2232,12.2481,0.0969,19.69
3.63,12.3033,3.0516,3.0860,3.0718,3.0571,3.0319,6.1376,9.2094,12.2665,0.0969,18.21
4.11,12.2665,3.0466,3.0909,3.0856,3.0939,3.0516,6.1376,9.2094,12.3033,0.0969,19.69
4.63,12.2849,3.0516,3.0860,3.0856,3.0433,3.0466,6.1376,9.2232,12.2665,0.1715,18.70
5.14,12.2849,3.0466,3.0826,3.0940,3.0617,3.0516,6.1376,9.2232,12.2849,0.1715,19.20
5.62,12.2665,3.0466,3.0909,3.0856,3.0617,3.0466,6.1292,9.2232,12.2849,0.0969,18.70
6.13,12.2665,3.0466,3.0909,3.0856,3.0433,3.0466,6.1376,9.2232,12.2665,0.0969,18.70
6.64,12.2481,3.0516,3.0777,3.0940,3.0433,3.0466,6.1376,9.2232,12.2665,0.0224,18.70
7.12,12.2849,3.0516,3.0860,3.0856,3.0249,3.0516,6.1292,9.2232,12.2481,0.0224,18.70
7.63,12.2849,3.0417,3.0958,3.0995,3.0617,3.0516,6.1376,9.2232,12.2849,0.0522,18.70
8.12,12.2849,3.0466,3.0909,3.0856,3.0479,3.0417,6.1376,9.2370,12.2849,0.0969,19.20
8.63,12.2849,3.0516,3.0777,3.0940,3.0617,3.0466,6.1376,9.2232,12.2849,0.0969,19.20
9.14,12.2665,3.0466,3.0909,3.0856,3.0617,3.0516,6.1292,9.2232,12.2849,0.0969,18.21
9.63,12.3033,3.0417,3.0958,3.0718,3.0433,3.0466,6.1376,9.2232,12.2665,0.0969,18.21
10.11,12.3033,3.0516,3.0860,3.0718,3.0939,3.0417,6.1376,9.2094,12.3033,0.1715,18.21
10.62,12.3033,3.0466,3.0993,3.0635,3.0939,3.0516,6.1376,9.2094,12.3033,0.0969,18.21
